case,threads,memory,rows,expected_trials,successful_trials,failed_trials,complete_checksum_agreement,stock_trials,stock_ms,stock_rss_mib,stock_max_rss_mib,stock_buffer_mib,stock_max_buffer_mib,stock_temp_mib,stock_max_temp_mib,budget_trials,budget_ms,budget_rss_mib,budget_max_rss_mib,budget_buffer_mib,budget_max_buffer_mib,budget_temp_mib,budget_max_temp_mib,paged_trials,paged_ms,paged_rss_mib,paged_max_rss_mib,paged_buffer_mib,paged_max_buffer_mib,paged_temp_mib,paged_max_temp_mib,stock_over_paged,budget_over_paged
ascending:key,1,2GB,2000000,15,15,0,True,5,24.202917000366142,64.921875,65.6875,17.69140625,17.69140625,0.0,0.0,5,26.354957997682504,80.75,80.90625,17.69140625,17.69140625,0.0,0.0,5,22.00716600054875,65.515625,65.625,17.69140625,17.69140625,0.0,0.0,1.0997743643939724,1.1975625574426685
ascending:key,4,2GB,2000000,15,15,0,True,5,12.799708001693944,72.15625,76.78125,21.046875,21.3125,0.0,0.0,5,14.483667000604328,94.21875,97.546875,46.015625,49.751953125,0.0,0.0,5,12.405165998643497,72.21875,74.859375,26.3671875,29.01953125,0.0,0.0,1.0318046532463645,1.1675512445531253
ascending:payload,1,2GB,2000000,15,15,0,True,5,34.20770900265779,91.171875,91.578125,43.9296875,43.9296875,0.0,0.0,5,36.13670900085708,121.703125,122.25,43.9296875,43.9296875,0.0,0.0,5,32.00641699731932,90.84375,91.6875,43.9296875,43.9296875,0.0,0.0,1.0687765833183653,1.1290457474163287
ascending:payload,4,2GB,2000000,15,15,0,True,5,16.99404200189747,109.171875,113.328125,50.796875,51.046875,0.0,0.0,5,20.054583001183346,152.96875,183.515625,95.16015625,98.39453125,0.0,0.0,5,16.745249999075895,105.03125,112.375,66.38671875,67.48046875,0.0,0.0,1.0148574672122126,1.1976281633472226
descending:key,1,2GB,2000000,15,15,0,True,5,26.760625001770677,65.171875,65.25,17.69140625,17.69140625,0.0,0.0,5,26.649084000382572,80.578125,81.703125,17.69140625,17.69140625,0.0,0.0,5,23.38104199952795,65.578125,71.859375,17.69140625,17.69140625,0.0,0.0,1.1445437291593317,1.1397731547174246
descending:key,4,2GB,2000000,15,15,0,True,5,14.816250000876607,72.921875,76.0625,21.078125,21.328125,0.0,0.0,5,15.869208000367507,98.859375,106.515625,47.892578125,49.1875,0.0,0.0,5,13.283874999615364,75.140625,75.375,29.03515625,30.37890625,0.0,0.0,1.1153560238488855,1.1946219006748409
descending:payload,1,2GB,2000000,15,15,0,True,5,36.69495899885078,90.640625,92.78125,43.9296875,43.9296875,0.0,0.0,5,37.91562500191503,121.9375,122.390625,43.9296875,43.9296875,0.0,0.0,5,34.56120799819473,91.09375,93.03125,43.9296875,43.9296875,0.0,0.0,1.0617383223632548,1.0970572846844797
descending:payload,4,2GB,2000000,15,15,0,True,5,17.588040998816723,105.5625,120.109375,51.0390625,51.046875,0.0,0.0,5,21.116125000844477,158.890625,172.25,94.359375,98.89453125,0.0,0.0,5,18.119542000931688,107.484375,110.453125,65.87109375,66.40234375,0.0,0.0,0.9706669736968166,1.1653785178322227
equal:key,1,2GB,2000000,15,15,0,True,5,22.04524999979185,64.0625,68.65625,16.943359375,16.943359375,0.0,0.0,5,22.544457999174483,79.484375,79.8125,16.943359375,16.943359375,0.0,0.0,5,19.45995799906086,64.34375,65.453125,16.943359375,16.943359375,0.0,0.0,1.1328518797859561,1.1585049669820706
equal:key,4,2GB,2000000,15,15,0,True,5,13.32279199777986,72.625,74.90625,20.046875,20.560546875,0.0,0.0,5,13.839666000421857,101.625,104.96875,48.4609375,48.994140625,0.0,0.0,5,11.412208001274848,73.78125,77.125,28.27734375,29.61328125,0.0,0.0,1.1674158056260087,1.2127071289688935
